beta-delta,alpha-PP,delta-PP,PP-delta,mast-macro
DHRS2,ARX,ETV1,,CKLF
CASR,RGS4,AQP3,DIRAS3,RGS10
TPPP3,TM4SF4,,,ARHGDIB
HADH,PDK3,,,S100A4
ENTPD3,TMEM176B,PON3,,SAMSN1
SCN1B,TMEM176A,BAIAP3,THSD7A,CD37
,GADD45G,,CARD11,ZFP36
RBP4,FXYD3,,CALB1,
NPTX2,ALDH1A1,DIRAS3,GPC5-AS1,FTH1
,APOH,MS4A8,PLEKHB1,FCER1G
,SMIM24,RALYL,LY6H,TYROBP
,F10,LY6H,,LAPTM5
,GC,PRG4,AC004540.2,CAPG
C1QL1,VGF,,ETV1,CYBA
,MOB1B,,NPW,RGS10
,MUC13,,SLITRK6,ALOX5AP
,,,AQP3,SRGN
,,,INPP5F,
,,,,
,,,,
,SCG2,,,
,RAB3C,,,
,GRIA3,,,
,SSX2IP,,,
